fixation_id;start_time;end_time;norm_pos_x;norm_pos_y;timestamp;event_type;duration;saccade_id;x;y
;1755694154.088;1755694154.555;;;1755694154.088;Saccade;0.46700000762939453;58.0;1233.3011881510415;-40.06315104166656
66.0;1755694154.588;1755694154.788;1234.4823753720234;173.97200520833326;1755694154.588;Fixation;0.20000004768371582;;;
;1755694154.821;1755694154.855;;;1755694154.821;Saccade;0.03399991989135742;59.0;1229.0250651041667;151.83089192708323
67.0;1755694154.888;1755694155.688;0.0;1440.0;1755694154.888;Fixation;0.7999999523162842;;;
;1755694155.721;1755694156.988;;;1755694155.721;Saccade;1.2669999599456787;60.0;1275.3589680989583;81.00496419270826
68.0;1755694157.021;1755694157.488;1199.6290985158626;164.75197545924644;1755694157.021;Fixation;0.46700000762939453;;;
;1755694157.521;1755694157.621;;;1755694157.521;Saccade;0.10000014305114746;61.0;1106.3587239583333;186.67439778645837
69.0;1755694157.655;1755694157.755;1047.4104817708333;198.00539143880206;1755694157.655;Fixation;0.10000014305114746;;;
;1755694157.788;1755694157.821;;;1755694157.788;Saccade;0.03299999237060547;62.0;1028.2490234375;201.37418619791674
70.0;1755694157.855;1755694162.521;1245.5478705091598;153.28608201316325;1755694157.855;Fixation;4.665999889373779;;;
;1755694162.555;1755694162.655;;;1755694162.555;Saccade;0.09999990463256836;63.0;1216.876708984375;86.29728190104153
71.0;1755694162.688;1755694162.955;0.0;1440.0;1755694162.688;Fixation;0.2669999599456787;;;
;1755694162.988;1755694164.888;;;1755694162.988;Saccade;1.9000000953674316;64.0;974.4537760416665;805.9775390625
72.0;1755694164.921;1755694165.255;1349.8338397862944;122.96782211461635;1755694164.921;Fixation;0.3340001106262207;;;
;1755694165.288;1755694165.421;;;1755694165.288;Saccade;0.13299989700317383;65.0;1380.3714192708333;112.54361979166661
73.0;1755694165.455;1755694165.555;0.0;1440.0;1755694165.455;Fixation;0.10000014305114746;;;
;1755694165.588;1755694167.222;;;1755694165.588;Saccade;1.6339998245239258;66.0;872.0623372395833;969.9933675130209
74.0;1755694167.255;1755694168.955;1219.2695455792887;482.0374134115132;1755694167.255;Fixation;1.6999998092651367;;;
75.0;1755694168.988;1755694169.122;0.0;1440.0;1755694168.988;Fixation;0.13400006294250488;;;
;1755694169.155;1755694169.388;;;1755694169.155;Saccade;0.2330000400543213;67.0;1130.7941080729165;478.7637532552083
76.0;1755694169.422;1755694170.222;1266.5312024834416;429.1379708756226;1755694169.422;Fixation;0.7999999523162842;;;
;1755694170.255;1755694171.188;;;1755694170.255;Saccade;0.932999849319458;68.0;1308.36376953125;427.4258626302083
77.0;1755694171.222;1755694171.588;1071.3268636067708;428.3132731119791;1755694171.222;Fixation;0.3660001754760742;;;
78.0;1755694171.622;1755694171.788;1241.0216471354167;362.1937662760416;1755694171.622;Fixation;0.1660001277923584;;;
;1755694171.822;1755694171.955;;;1755694171.822;Saccade;0.13299989700317383;69.0;1239.2755533854167;373.7574869791666
79.0;1755694171.988;1755694172.122;1102.9338053385416;495.6525716145834;1755694171.988;Fixation;0.13400006294250488;;;
;1755694172.155;1755694173.321;;;1755694172.155;Saccade;1.1660001277923584;70.0;1093.3448893229165;502.16398111979163
80.0;1755694173.355;1755694174.522;0.0;1440.0;1755694173.355;Fixation;1.1670000553131104;;;
;1755694174.555;1755694175.155;;;1755694174.555;Saccade;0.5999999046325684;71.0;1168.1435546874998;271.37036132812494
81.0;1755694175.188;1755694175.288;1084.9129842122395;456.1145833333333;1755694175.188;Fixation;0.10000014305114746;;;
;1755694175.322;1755694175.855;;;1755694175.322;Saccade;0.5329999923706055;72.0;1100.3766276041667;471.73746744791663
82.0;1755694175.888;1755694176.555;1322.4847933782498;499.26345185103406;1755694175.888;Fixation;0.6670000553131104;;;
;1755694176.588;1755694176.788;;;1755694176.588;Saccade;0.20000004768371582;73.0;1337.8524576822917;484.81274414062494
83.0;1755694176.822;1755694177.755;1470.154481327135;476.38090430796296;1755694176.822;Fixation;0.9330000877380371;;;
;1755694177.788;1755694177.988;;;1755694177.788;Saccade;0.19999980926513672;74.0;1437.5279947916667;452.05859374999994
84.0;1755694178.022;1755694178.255;1330.8502705891929;413.9258728027343;1755694178.022;Fixation;0.2330000400543213;;;
;1755694178.288;1755694178.855;;;1755694178.288;Saccade;0.5669999122619629;75.0;1328.0009765625;425.1864420572915
85.0;1755694178.888;1755694181.055;1401.1778120310053;442.227293172098;1755694178.888;Fixation;2.1670000553131104;;;
;1755694181.088;1755694181.255;;;1755694181.088;Saccade;0.16700005531311035;76.0;1358.7628580729167;376.94140625
86.0;1755694181.288;1755694195.522;1257.001988041612;341.57176481079654;1755694181.288;Fixation;14.233999967575073;;;
;1755694195.555;1755694195.855;;;1755694195.555;Saccade;0.2999999523162842;77.0;1263.3794759114583;358.07324218750006
87.0;1755694195.889;1755694196.155;1253.9550208276703;466.35317060406237;1755694195.889;Fixation;0.26600003242492676;;;
;1755694196.189;1755694196.655;;;1755694196.189;Saccade;0.4660000801086426;78.0;1228.7900390625;471.123046875
88.0;1755694196.689;1755694196.855;0.0;1440.0;1755694196.689;Fixation;0.1660001277923584;;;
;1755694196.889;1755694197.122;;;1755694196.889;Saccade;0.2330000400543213;79.0;1236.7662760416665;401.18619791666663
89.0;1755694197.155;1755694200.255;1339.3420501814376;412.97885102844964;1755694197.155;Fixation;3.1000001430511475;;;
;1755694200.289;1755694201.689;;;1755694200.289;Saccade;1.3999998569488525;80.0;1368.4873046875;378.49983723958337
90.0;1755694201.722;1755694202.655;1236.3510275863343;465.71020975154755;1755694201.722;Fixation;0.9330000877380371;;;
;1755694202.689;1755694204.155;;;1755694202.689;Saccade;1.4660000801086426;81.0;1282.10400390625;461.95475260416663
91.0;1755694204.189;1755694204.355;0.0;1440.0;1755694204.189;Fixation;0.1660001277923584;;;
;1755694204.389;1755694205.022;;;1755694204.389;Saccade;0.6330001354217529;82.0;1138.4860026041665;286.365478515625
92.0;1755694205.055;1755694205.855;1390.6073432250546;514.5007660499627;1755694205.055;Fixation;0.7999999523162842;;;
93.0;1755694205.889;1755694206.222;1263.042650405366;553.035459698834;1755694205.889;Fixation;0.33299994468688965;;;
;1755694206.255;1755694206.889;;;1755694206.255;Saccade;0.6339998245239258;83.0;1262.8319498697917;558.1001790364584
94.0;1755694206.922;1755694207.155;1201.4485473632812;356.4303487141927;1755694206.922;Fixation;0.2330000400543213;;;
95.0;1755694207.189;1755694207.322;0.0;1440.0;1755694207.189;Fixation;0.13300013542175293;;;
;1755694207.355;1755694208.489;;;1755694207.355;Saccade;1.1340000629425049;84.0;1483.5323893229167;865.9860432942708
96.0;1755694208.522;1755694208.722;1607.1737118675596;555.1131649925594;1755694208.522;Fixation;0.19999980926513672;;;
;1755694208.755;1755694208.755;;;1755694208.755;Saccade;0.0;85.0;1394.48876953125;519.5365397135415
97.0;1755694208.789;1755694209.189;1287.1421100050115;489.90266472487014;1755694208.789;Fixation;0.39999985694885254;;;
;1755694209.222;1755694210.055;;;1755694209.222;Saccade;0.8330001831054688;86.0;1304.54296875;509.3230794270833
98.0;1755694210.089;1755694212.822;1375.5161153394388;337.9277334471401;1755694210.089;Fixation;2.7330000400543213;;;
;1755694212.855;1755694213.122;;;1755694212.855;Saccade;0.2669999599456787;87.0;1434.98828125;403.19637044270826
